UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue
8,Station A,2017.2694336389043,0,9,0
2,Station B,3000.568219284347,3,18,0
5,Station B,3000.9119191958184,1,19,0
11,Station B,3000.4629570849424,3,20,1
7,Station B,3000.070587981661,1,20,0
13,Station B,3000.5375389402693,1,20,0
15,Station B,3000.5809149222273,1,19,0
12,Station B,3000.132273636199,3,18,0
4,Station B,3000.2197286585742,1,18,0
6,Station B,3000.3276490827125,1,17,0
10,Station B,3000.458944710868,1,16,0
19,Station B,3000.0495390771803,1,17,0
9,Station B,3000.0853080104744,1,16,0
21,Station B,3000.246820632276,1,20,2
17,Station B,3000.206884381621,1,20,1
22,Station B,3000.517602439234,1,20,0
27,Station B,3000.487098776094,1,19,0
18,Station B,3000.3077519490635,1,19,0
25,Station B,3000.065148007682,1,20,0
14,Station B,3000.241548838521,1,20,3
30,Station B,3000.081203292054,3,20,2
31,Station B,3000.2123797287895,1,20,2
16,Station B,3000.2083308142414,3,20,3
34,Station B,3000.1561732534537,1,20,3
1,Station B,2875.4716466119066,1,20,4
26,Station B,3000.373552789233,1,20,5
3,Station B,3000.0904662213243,1,20,7
28,Station B,3000.2404609159144,5,20,6
35,Station B,3000.4917414008373,1,20,5
37,Station B,3000.5602146041365,3,20,4
48,Station A,2148.940302417497,0,20,4
24,Station B,3000.005447991007,1,20,3
32,Station B,3000.4463901408017,3,20,2
29,Station B,3000.146861488337,1,20,4
36,Station B,3000.009932927788,1,20,4
33,Station B,3000.0023710202463,1,20,3
39,Station B,3000.0097889432477,1,20,2
38,Station B,3000.55925399476,3,20,1
20,Station B,3000.089402703985,1,20,3
40,Station B,3000.289432162558,1,20,2
41,Station B,3000.4369361738604,1,20,2
43,Station B,3000.4404320663507,1,20,1
49,Station B,3000.8607020925338,1,20,3
52,Station B,3000.6849063248333,3,20,3
47,Station B,3000.033416035445,1,20,5
56,Station B,3000.747511485695,1,20,4
50,Station B,3000.2487190150455,1,20,5
46,Station B,3000.249770587849,1,20,4
61,Station B,3000.5142217679468,1,20,3
53,Station B,3000.2643710839457,3,20,2
