UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
1,Station B,3000.2676316342054,1,10,0,1
11,Station A,2026.9968355922902,0,10,0,2
2,Station B,3000.071063918915,3,10,0,3
7,Station B,2926.415413221821,1,9,0,4
3,Station B,3000.3509460475284,1,11,0,5
5,Station B,3000.0823093162635,1,10,0,6
6,Station B,3000.0233732274037,3,12,0,7
18,Station A,2117.967303517188,0,14,0,8
12,Station B,3000.5843373744756,1,13,0,9
16,Station B,3000.0163488748435,1,16,0,10
19,Station B,3000.749303209918,1,15,0,11
21,Station B,3000.3307972024263,1,15,0,12
8,Station B,3000.275544343771,3,15,0,13
15,Station B,3000.1114924823387,1,14,0,14
22,Station B,3000.6698701417235,1,16,0,15
17,Station B,3000.458142687712,3,17,0,16
24,Station A,2211.883833427308,0,18,0,17
28,Station B,2636.210781304389,1,18,0,18
27,Station B,3000.791504753556,1,17,0,19
29,Station B,3000.3098295852174,1,19,0,20
30,Station B,3000.5695012426477,1,18,0,21
0,Station B,3000.075138541979,1,17,0,22
14,Station B,3000.0128289469035,1,17,0,23
32,Station B,3000.5602977355866,1,19,0,24
35,Station B,3000.480494474231,1,19,0,25
25,Station B,3000.001043318263,3,18,0,26
9,Station B,3000.0859728096248,3,20,3,27
38,Station B,3000.144737857707,1,20,2,28
31,Station B,3000.1669109930244,1,20,1,29
40,Station B,3000.7356774367818,1,20,3,30
10,Station B,3000.088573633116,7,20,4,31
45,Station B,3000.0308233836004,1,20,4,32
39,Station A,3000.178992939832,2,20,3,33
41,Station B,3000.4743901577763,1,20,2,34
13,Station B,3000.0779502925207,3,20,1,35
55,Station A,2136.0965668086264,0,20,6,36
50,Station B,3000.6348576587043,1,20,6,37
36,Station B,3000.2514899603734,1,20,7,38
44,Station B,3000.3136284444777,1,20,9,39
46,Station B,3000.1446728878727,3,20,9,40
51,Station B,3000.270858998091,1,20,8,41
26,Station B,3000.1665623181693,3,20,7,42
54,Station B,3000.139516524152,1,20,6,43
23,Station B,3000.132429615733,1,20,6,44
56,Station B,3000.611461707631,3,20,7,45
43,Station B,3000.1256436389067,3,20,6,46
65,Station A,2027.5121300506357,0,20,5,47
33,Station B,3000.106011559148,1,20,4,48
42,Station B,3000.1156557677286,1,20,4,49
47,Station B,3000.2422069475447,3,20,3,50
49,Station B,2982.3573024810253,1,20,5,51
59,Station B,3000.066205273029,3,20,4,52
53,Station B,3000.038579464842,3,20,3,53
58,Station B,3000.1565476116953,1,20,3,54
37,Station B,2689.669446562002,3,20,2,55
20,Station B,3000.0799589633534,3,20,2,56
62,Station B,3000.15198023425,1,20,3,57
68,Station B,3000.1361813850817,5,20,3,58
52,Station B,3000.2909618837657,1,20,3,59
61,Station B,3000.1078828307277,1,20,5,60
48,Station B,3000.1598889541347,1,20,4,61
67,Station B,3000.526664841857,1,20,6,62
34,Station B,3000.0690231435487,5,20,5,63
71,Station B,3000.2269590270557,1,20,5,64
69,Station B,3000.4816746927154,3,20,4,65
75,Station B,3000.060501696412,1,20,3,66
77,Station B,3000.2889409652157,1,20,3,67
76,Station B,3000.16390378814,1,20,2,68
80,Station B,3000.1067752226313,1,20,4,69
89,Station A,2068.9262792893346,0,20,3,70
74,Station B,3000.074254218135,1,20,2,71
84,Station B,3000.8930243918007,3,20,2,72
85,Station B,3000.4254275013263,1,20,5,73
83,Station B,2958.3835336972697,1,20,5,74
66,Station B,3000.1203591463413,1,20,4,75
78,Station B,3000.3390515274127,1,20,4,76
64,Station B,3000.1798926842894,1,20,5,77
63,Station B,3000.111574048397,1,20,4,78
88,Station B,3000.615283812401,1,20,5,79
70,Station B,3000.1803855471508,1,20,4,80
90,Station B,3000.482495406724,1,20,3,81
87,Station B,3000.3928799368914,1,20,2,82
86,Station B,3000.046887578127,1,20,2,83
60,Station B,3000.185657429025,1,20,1,84
57,Station B,3000.0035802079487,1,20,1,85
93,Station B,3000.287386078658,1,20,0,86
97,Station B,3000.3854491659386,1,20,0,87
79,Station B,3000.1759420461904,3,19,0,88
100,Station B,3000.590165440369,1,18,0,89
99,Station B,3000.5263424702694,1,18,0,90
101,Station B,3000.06296791573,3,18,0,91
92,Station B,3000.031445342331,1,18,0,92
95,Station B,3000.2732984922227,1,18,0,93
103,Station B,3000.1931385211465,1,19,0,94
105,Station B,3000.2113604742744,1,19,0,95
73,Station B,3000.026241368677,5,18,0,96
102,Station B,3000.0062907214174,1,19,0,97
104,Station B,3000.359614380532,1,19,0,98
110,Station A,2233.2671589923048,0,20,0,99
109,Station B,3000.2824326693126,1,20,1,100
91,Station B,3000.1833695918044,1,20,1,101
107,Station B,3000.126932117663,1,20,1,102
106,Station B,3000.0754079775875,1,20,0,103
115,Station B,3000.9525099499588,3,19,0,104
112,Station B,3000.700521813601,3,18,0,105
98,Station B,3000.059114201622,1,17,0,106
111,Station B,3000.333823320882,3,17,0,107
117,Station A,2320.5043598193147,0,16,0,108
108,Station B,3000.286187241251,3,15,0,109
72,Station B,3000.052426587892,3,14,0,110
96,Station B,3000.2439265687226,5,13,0,111
118,Station B,3000.7356861223248,1,14,0,112
119,Station B,3000.2853440515114,3,15,0,113
120,Station B,3000.2316238145754,1,14,0,114
94,Station B,3000.193335837257,3,13,0,115
121,Station B,3000.095766691493,3,12,0,116
123,Station B,3000.3732528004193,1,11,0,117
122,Station B,3000.15658840126,1,13,0,118
116,Station B,3000.3424998917003,1,13,0,119
113,Station B,3000.1495119006336,1,19,0,120
81,Station B,3000.013769804482,5,19,0,121
124,Station B,3000.5128484412635,1,18,0,122
